"Альтернатива","Стейкхолдер","Функциональный","Дисфункциональный","Вес"
"Обязательная авторизация","S1","Must-be","Indifferent","1.0"
"Обязательная авторизация","S2","Must-be","Must-be","1.2"
"Обязательная авторизация","S3","Must-be","Must-be","1.0"
"Обязательная авторизация","S4","Must-be","Indifferent","1.0"
"Обязательная авторизация","S5","Must-be","Indifferent","1.0"
"Темная тема","S1","Attractive","Indifferent","1.0"
"Темная тема","S2","Attractive","Indifferent","1.0"
"Темная тема","S3","Attractive","Indifferent","1.0"
"Темная тема","S4","Attractive","Indifferent","1.0"
"Темная тема","S5","Attractive","Indifferent","1.0"
"Интеграция с календарем","S1","Indifferent","Indifferent","1.0"
"Интеграция с календарем","S2","Indifferent","Indifferent","1.0"
"Интеграция с календарем","S3","Indifferent","Indifferent","1.0"
"Интеграция с календарем","S4","Indifferent","Indifferent","1.0"
"Интеграция с календарем","S5","Indifferent","Indifferent","1.0"
"Удаление аккаунта","S1","Reverse","Must-be","1.0"
"Удаление аккаунта","S2","Reverse","Indifferent","1.0"
"Удаление аккаунта","S3","Reverse","Indifferent","1.0"
"Удаление аккаунта","S4","Reverse","Reverse","1.0"
"Удаление аккаунта","S5","Reverse","Indifferent","1.0"
